Date,Energy
2015-01-03,23.3
2015-01-04,42.1
2015-01-05,39.7
2015-01-06,27.2
2015-01-07,4.5
2015-01-08,9.4
2015-01-09,26.6
2015-01-10,33.8
2015-01-11,49.9
2015-01-12,18.3
2015-01-13,14.5
2015-01-14,27.4
2015-01-15,25.1
2015-01-16,51.4
2015-01-17,48.3
2015-01-18,15.5
2015-01-19,9.0
2015-01-20,20.6
2015-01-21,34.9
2015-01-22,28.7
2015-01-23,67.3
2015-01-24,46.0
2015-01-25,57.9
2015-01-26,55.5
2015-01-27,17.7
2015-01-28,34.8
2015-01-29,49.8
2015-01-30,69.4
2015-01-31,28.5
2015-02-01,31.6
2015-02-02,24.3
2015-02-03,39.9
2015-02-04,62.7
2015-02-05,55.4
2015-02-06,58.0
2015-02-07,53.5
2015-02-08,33.4
2015-02-09,60.3
2015-02-10,36.5
2015-02-11,16.8
2015-02-12,6.5
2015-02-13,3.0
2015-02-14,22.3
2015-02-15,27.4
2015-02-16,56.8
2015-02-17,45.0
2015-02-18,62.5
2015-02-19,18.7
2015-02-20,5.2
2015-02-21,48.3
2015-02-22,37.0
2015-02-23,18.6
2015-02-24,29.0
2015-02-25,60.4
2015-02-26,48.3
2015-02-27,20.3
2015-02-28,7.0
2015-03-01,20.3
2015-03-02,62.6
2015-03-03,27.8
2015-03-04,30.5
2015-03-05,47.3
2015-03-06,69.1
2015-03-07,73.0
2015-03-08,52.1
2015-03-09,33.4
2015-03-10,14.3
2015-03-11,15.2
2015-03-12,55.7
2015-03-13,17.6
2015-03-14,6.7
2015-03-15,53.6
2015-03-16,51.2
2015-03-17,45.9
2015-03-18,18.9
2015-03-19,7.1
2015-03-20,16.8
2015-03-21,18.5
2015-03-22,41.4
2015-03-23,24.3
2015-03-24,23.4
2015-03-25,63.9
2015-03-26,25.8
2015-03-27,48.2
2015-03-28,53.6
2015-03-29,17.4
2015-03-30,50.4
2015-03-31,47.3
2015-04-01,43.7
2015-04-02,14.3
2015-04-03,15.5
2015-04-04,33.1
2015-04-05,56.7
2015-04-06,63.0
2015-04-07,49.5
2015-04-08,32.3
2015-04-09,15.9
2015-04-10,6.6
2015-04-11,13.4
2015-04-12,5.8
2015-04-13,9.1
2015-04-14,12.7
2015-04-15,5.9
2015-04-16,11.8
2015-04-17,31.7
2015-04-18,14.0
2015-04-19,42.8
2015-04-20,21.5
2015-04-21,19.7
2015-04-22,13.7
2015-04-23,22.1
2015-04-24,11.0
2015-04-25,3.6
2015-04-26,12.9
2015-04-27,43.9
2015-04-28,24.8
2015-04-29,13.3
2015-04-30,22.8
2015-05-01,34.4
2015-05-02,29.5
2015-05-03,16.1
2015-05-04,18.3
2015-05-05,35.1
2015-05-06,13.9
2015-05-07,24.5
2015-05-08,10.5
2015-05-09,15.9
2015-05-10,23.9
2015-05-11,17.5
2015-05-12,11.3
2015-05-13,14.8
2015-05-14,24.3
2015-05-15,35.1
2015-05-16,16.3
2015-05-17,45.0
2015-05-18,15.9
2015-05-19,8.2
2015-05-20,27.8
2015-05-21,22.3
2015-05-22,35.9
2015-05-23,14.0
2015-05-24,16.8
2015-05-25,7.4
2015-05-26,4.0
2015-05-27,27.5
2015-05-28,18.8
2015-05-29,8.1
2015-05-30,6.2
2015-05-31,3.2
2015-06-01,1.2
2015-06-02,4.3
2015-06-03,4.5
2015-06-04,5.4
2015-06-05,12.1
2015-06-06,6.1
2015-06-07,6.3
2015-06-08,5.1
2015-06-09,2.8
2015-06-10,3.5
2015-06-11,5.7
2015-06-12,18.1
2015-06-13,19.5
2015-06-14,24.3
2015-06-15,15.1
2015-06-16,7.3
2015-06-17,16.8
2015-06-18,20.0
2015-06-19,6.4
2015-06-20,8.4
2015-06-21,15.4
2015-06-22,8.6
2015-06-23,26.5
2015-06-24,17.0
2015-06-25,11.1
2015-06-26,15.5
2015-06-27,11.8
2015-06-28,7.2
2015-06-29,7.3
2015-06-30,5.0
2015-07-01,7.2
2015-07-02,4.2
2015-07-03,8.3
2015-07-04,8.9
2015-07-05,5.5
2015-07-06,4.8
2015-07-07,5.0
2015-07-08,13.1
2015-07-09,15.3
2015-07-10,28.5
2015-07-11,7.6
2015-07-12,6.4
2015-07-13,5.1
2015-07-14,3.8
2015-07-15,4.1
2015-07-16,4.5
2015-07-17,5.2
2015-07-18,4.7
2015-07-19,6.3
2015-07-20,5.0
2015-07-21,5.4
2015-07-22,4.6
2015-07-23,5.2
2015-07-24,5.7
2015-07-25,12.5
2015-07-26,18.1
2015-07-27,34.0
2015-07-28,21.6
2015-07-29,26.0
2015-07-30,14.7
2015-07-31,10.0
2015-08-01,10.5
2015-08-02,4.0
2015-08-03,7.0
2015-08-04,8.5
2015-08-05,7.3
2015-08-06,15.3
2015-08-07,15.9
2015-08-08,9.8
2015-08-09,8.4
2015-08-10,11.4
2015-08-11,20.1
2015-08-12,18.2
2015-08-13,20.7
2015-08-14,8.4
2015-08-15,13.3
2015-08-16,18.0
2015-08-17,26.4
2015-08-18,10.0
2015-08-19,13.5
2015-08-20,9.7
2015-08-21,12.9
2015-08-22,16.7
2015-08-23,10.6
2015-08-24,27.0
2015-08-25,19.1
2015-08-26,3.3
2015-08-27,3.5
2015-08-28,1.6
2015-08-29,3.5
2015-08-30,2.7
2015-08-31,1.6
2015-09-01,6.3
2015-09-02,18.3
2015-09-03,17.1
2015-09-04,17.0
2015-09-05,47.0
2015-09-06,18.9
2015-09-07,15.5
2015-09-08,36.5
2015-09-09,39.0
2015-09-10,32.0
2015-09-11,3.6
2015-09-12,6.5
2015-09-13,36.3
2015-09-14,53.2
2015-09-15,31.1
2015-09-16,47.3
2015-09-17,49.8
2015-09-18,26.3
2015-09-19,15.0
2015-09-20,34.0
2015-09-21,47.6
2015-09-22,19.3
2015-09-23,47.8
2015-09-24,31.4
2015-09-25,25.0
2015-09-26,36.0
2015-09-27,51.4
2015-09-28,61.4
2015-09-29,58.8
2015-09-30,54.4
2015-10-01,63.4
2015-10-02,51.6
2015-10-03,13.0
2015-10-04,47.8
2015-10-05,15.9
2015-10-06,14.1
2015-10-07,19.0
2015-10-08,6.5
2015-10-09,19.3
2015-10-10,76.0
2015-10-11,23.3
2015-10-12,8.5
2015-10-13,38.5
2015-10-14,28.3
2015-10-15,35.9
2015-10-16,35.0
2015-10-17,4.0
2015-10-18,6.3
2015-10-19,4.0
2015-10-20,42.4
2015-10-21,61.2
2015-10-22,70.2
2015-10-23,64.0
2015-10-24,26.5
2015-10-26,1.5
2015-10-27,11.3
2015-10-28,34.4
2015-10-29,18.1
2015-10-30,44.5
2015-10-31,52.6
2015-11-01,52.1
2015-11-02,27.0
2015-11-03,5.5
2015-11-04,3.0
2015-11-05,0.9
2015-11-06,6.7
2015-11-07,5.6
2015-11-08,3.0
2015-11-09,11.6
2015-11-10,8.0
2015-11-11,1.5
2015-11-12,0.0
2015-11-13,1.8
2015-11-14,2.5
2015-11-15,3.2
2015-11-16,0.6
2015-11-17,3.9
2015-11-18,5.7
2015-11-19,4.5
2015-11-20,44.3
2015-11-21,54.1
2015-11-22,21.6
2015-11-23,25.4
2015-11-24,33.2
2015-11-25,9.2
2015-11-26,58.7
2015-11-27,43.5
2015-11-28,12.8
2015-11-29,6.8
2015-11-30,19.4
2015-12-01,10.8
2015-12-02,1.3
2015-12-03,0.1
2015-12-04,0.1
2015-12-05,0.9
2015-12-06,2.4
2015-12-07,8.2
2015-12-08,5.5
2015-12-09,2.0
2015-12-10,33.5
2015-12-11,12.8
2015-12-12,27.8
2015-12-13,16.4
2015-12-14,1.5
2015-12-15,1.3
2015-12-16,8.0
2015-12-17,4.1
2015-12-18,2.9
2015-12-19,1.3
2015-12-20,2.8
2015-12-21,5.8
2015-12-22,9.6
2015-12-23,14.1
2015-12-24,13.5
2015-12-25,4.3
2015-12-26,2.3
2015-12-27,0.5
2015-12-28,2.8
2015-12-29,12.2
2015-12-30,20.0
2015-12-31,20.3
2016-01-01,3.6
2016-01-02,46.0
2016-01-03,33.0
2016-01-04,39.7
2016-01-05,25.8
2016-01-06,24.5
2016-01-07,22.6
2016-01-08,33.5
2016-01-09,49.2
2016-01-10,53.4
2016-01-11,61.0
2016-01-12,54.6
2016-01-13,43.4
2016-01-14,59.1
2016-01-15,24.3
2016-01-16,53.5
2016-01-17,28.3
2016-01-18,20.5
2016-01-19,13.0
2016-01-20,3.7
2016-01-21,2.4
2016-01-22,14.6
2016-01-23,3.5
2016-01-24,6.3
2016-01-25,14.3
2016-01-26,10.5
2016-01-27,20.3
2016-01-28,12.3
2016-01-29,6.4
2016-01-30,35.3
2016-01-31,45.2
2016-02-01,11.8
2016-02-02,34.8
2016-02-03,39.7
2016-02-04,31.0
2016-02-05,15.2
2016-02-06,26.9
2016-02-07,65.5
2016-02-08,42.4
2016-02-09,53.2
2016-02-10,47.9
2016-02-11,14.9
2016-02-12,53.4
2016-02-13,40.4
2016-02-14,50.8
2016-02-15,32.4
2016-02-16,29.2
2016-02-17,17.3
2016-02-18,22.0
2016-02-19,37.3
2016-02-20,11.9
2016-02-21,21.7
