Date,Energy
2015-01-02,288.8
2015-01-03,558.6
2015-01-04,568.8
2015-01-05,587.6
2015-01-06,244.2
2015-01-07,17.0
2015-01-08,38.6
2015-01-09,336.9
2015-01-10,764.4
2015-01-11,932.3
2015-01-12,267.5
2015-01-13,288.6
2015-01-14,500.8
2015-01-15,277.4
2015-01-16,307.0
2015-01-17,631.2
2015-01-18,141.4
2015-01-19,69.2
2015-01-20,179.3
2015-01-21,220.7
2015-01-22,314.9
2015-01-23,351.2
2015-01-24,607.7
2015-01-25,509.0
2015-01-26,534.3
2015-01-27,177.3
2015-01-28,661.7
2015-01-29,630.4
2015-01-30,994.8
2015-01-31,317.1
2015-02-01,710.6
2015-02-02,178.9
2015-02-03,368.3
2015-02-04,701.0
2015-02-05,381.3
2015-02-06,426.4
2015-02-07,168.5
2015-02-08,315.2
2015-02-09,928.3
2015-02-10,880.8
2015-02-11,625.9
2015-02-12,60.3
2015-02-13,19.7
2015-02-14,28.0
2015-02-15,73.5
2015-02-16,199.3
2015-02-17,558.3
2015-02-18,701.9
2015-02-19,169.0
2015-02-20,101.8
2015-02-21,313.3
2015-02-22,221.8
2015-02-23,106.1
2015-02-24,290.4
2015-02-25,239.5
2015-02-26,307.9
2015-02-27,408.1
2015-02-28,50.6
2015-03-01,292.5
2015-03-02,946.8
2015-03-03,138.2
2015-03-04,316.2
2015-03-05,514.2
2015-03-06,852.5
2015-03-07,903.3
2015-03-08,541.8
2015-03-09,250.7
2015-03-10,84.2
2015-03-11,59.2
2015-03-12,768.1
2015-03-13,304.6
2015-03-14,17.2
2015-03-15,103.3
2015-03-16,165.8
2015-03-17,171.1
2015-03-18,131.1
2015-03-19,132.6
2015-03-20,185.6
2015-03-21,83.1
2015-03-22,142.1
2015-03-23,196.9
2015-03-24,138.1
2015-03-25,800.2
2015-03-26,141.2
2015-03-27,411.0
2015-03-28,898.4
2015-03-29,282.5
2015-03-30,642.7
2015-03-31,519.1
2015-04-01,408.3
2015-04-02,375.3
2015-04-03,399.0
2015-04-04,349.1
2015-04-05,471.5
2015-04-06,716.7
2015-04-07,824.3
2015-04-08,935.8
2015-04-09,634.1
2015-04-10,96.4
2015-04-11,305.1
2015-04-12,169.8
2015-04-13,95.9
2015-04-14,82.8
2015-04-15,100.2
2015-04-16,200.9
2015-04-17,393.3
2015-04-18,375.9
2015-04-19,501.2
2015-04-20,175.4
2015-04-21,470.6
2015-04-22,166.4
2015-04-23,394.9
2015-04-24,216.2
2015-04-25,27.0
2015-04-26,149.5
2015-04-27,410.1
2015-04-28,658.5
2015-04-29,112.6
2015-04-30,481.4
2015-05-01,600.5
2015-05-02,599.6
2015-05-03,212.8
2015-05-04,165.3
2015-05-05,307.3
2015-05-06,371.2
2015-05-07,138.6
2015-05-08,54.2
2015-05-09,145.2
2015-05-10,483.9
2015-05-11,554.0
2015-05-12,300.2
2015-05-13,240.8
2015-05-14,788.4
2015-05-15,724.7
2015-05-16,270.1
2015-05-17,619.4
2015-05-18,268.0
2015-05-19,157.8
2015-05-20,360.8
2015-05-21,257.6
2015-05-22,464.2
2015-05-23,543.3
2015-05-24,49.2
2015-05-25,83.1
2015-05-26,83.3
2015-05-27,451.2
2015-05-28,414.9
2015-05-29,108.8
2015-05-30,136.7
2015-05-31,36.3
2015-06-01,27.2
2015-06-02,49.0
2015-06-03,69.7
2015-06-04,112.9
2015-06-05,304.9
2015-06-06,113.5
2015-06-07,138.0
2015-06-08,73.7
2015-06-09,33.1
2015-06-10,56.5
2015-06-11,39.0
2015-06-12,79.2
2015-06-13,85.7
2015-06-14,530.1
2015-06-15,197.5
2015-06-16,148.2
2015-06-17,229.0
2015-06-18,606.8
2015-06-19,102.0
2015-06-20,132.3
2015-06-21,369.2
2015-06-22,121.7
2015-06-23,645.1
2015-06-24,385.6
2015-06-25,324.5
2015-06-26,496.9
2015-06-27,330.6
2015-06-28,250.4
2015-06-29,341.7
2015-06-30,219.2
2015-07-01,206.3
2015-07-02,73.5
2015-07-03,157.2
2015-07-04,189.1
2015-07-05,49.5
2015-07-06,47.5
2015-07-07,34.4
2015-07-08,251.2
2015-07-09,218.9
2015-07-10,392.7
2015-07-11,65.0
2015-07-12,68.4
2015-07-13,174.2
2015-07-14,50.3
2015-07-15,58.1
2015-07-16,40.8
2015-07-17,38.9
2015-07-18,32.7
2015-07-19,92.0
2015-07-20,43.0
2015-07-21,54.4
2015-07-22,48.7
2015-07-23,100.2
2015-07-24,80.2
2015-07-25,199.0
2015-07-26,349.1
2015-07-27,583.0
2015-07-28,446.6
2015-07-29,396.9
2015-07-30,254.3
2015-07-31,227.5
2015-08-01,108.5
2015-08-02,109.9
2015-08-03,198.0
2015-08-04,99.5
2015-08-05,93.7
2015-08-06,165.3
2015-08-07,170.7
2015-08-08,109.8
2015-08-09,107.6
2015-08-10,119.5
2015-08-11,148.4
2015-08-12,393.0
2015-08-13,197.8
2015-08-14,96.7
2015-08-15,202.5
2015-08-16,417.8
2015-08-17,562.3
2015-08-18,183.2
2015-08-19,171.0
2015-08-20,85.5
2015-08-21,167.9
