Date,Energy
2015-01-03,597.7
2015-01-04,552.5
2015-01-05,197.7
2015-01-06,152.3
2015-01-07,91.9
2015-01-08,180.0
2015-01-09,551.6
2015-01-10,583.9
2015-01-11,492.3
2015-01-12,73.8
2015-01-13,29.4
2015-01-14,119.9
2015-01-15,120.8
2015-01-16,195.0
2015-01-17,234.4
2015-01-18,82.6
2015-01-19,120.7
2015-01-20,29.4
2015-01-21,234.3
2015-01-22,71.1
2015-01-23,332.5
2015-01-24,288.2
2015-01-25,345.7
2015-01-26,380.5
2015-01-27,135.9
2015-01-28,164.2
2015-01-29,596.7
2015-01-30,693.3
2015-01-31,211.0
2015-02-01,621.0
2015-02-02,502.1
2015-02-03,373.6
2015-02-04,391.8
2015-02-05,524.6
2015-02-06,371.6
2015-02-07,153.9
2015-02-08,318.7
2015-02-09,401.8
2015-02-10,134.6
2015-02-11,22.9
2015-02-12,82.4
2015-02-13,47.2
2015-02-14,53.4
2015-02-15,63.4
2015-02-16,74.9
2015-02-17,364.8
2015-02-18,364.4
2015-02-19,99.2
2015-02-20,50.1
2015-02-21,147.4
2015-02-22,152.7
2015-02-23,535.0
2015-02-24,641.3
2015-02-25,514.0
2015-02-26,250.3
2015-02-27,25.7
2015-02-28,87.7
2015-03-01,102.0
2015-03-02,471.6
2015-03-03,295.3
2015-03-04,161.0
2015-03-05,616.7
2015-03-06,609.8
2015-03-07,463.6
2015-03-08,260.5
2015-03-09,56.0
2015-03-10,81.0
2015-03-11,148.7
2015-03-12,228.5
2015-03-13,76.6
2015-03-14,78.7
2015-03-15,367.5
2015-03-16,117.3
2015-03-17,69.8
2015-03-18,155.9
2015-03-19,329.0
2015-03-20,695.0
2015-03-21,594.3
2015-03-22,178.3
2015-03-23,114.3
2015-03-24,578.5
2015-03-25,269.5
2015-03-26,192.1
2015-03-27,467.4
2015-03-28,215.3
2015-03-29,362.2
2015-03-30,745.2
2015-03-31,633.9
2015-04-01,718.1
2015-04-02,388.4
2015-04-03,238.5
2015-04-04,238.2
2015-04-05,557.1
2015-04-06,173.3
2015-04-07,241.7
2015-04-08,130.3
2015-04-09,42.4
2015-04-10,93.5
2015-04-11,51.6
2015-04-12,49.3
2015-04-13,20.4
2015-04-14,22.0
2015-04-15,40.2
2015-04-16,154.9
2015-04-17,125.1
2015-04-18,52.3
2015-04-19,56.0
2015-04-20,54.0
2015-04-21,66.8
2015-04-22,78.5
2015-04-23,87.5
2015-04-24,79.8
2015-04-25,22.5
2015-04-26,94.5
2015-04-27,452.2
2015-04-28,760.5
2015-04-29,241.5
2015-04-30,152.5
2015-05-01,189.7
2015-05-02,185.4
2015-05-03,30.6
2015-05-04,87.8
2015-05-05,217.5
2015-05-06,67.5
2015-05-07,146.5
2015-05-08,72.8
2015-05-09,308.9
2015-05-10,84.3
2015-05-11,42.8
2015-05-12,33.4
2015-05-13,85.4
2015-05-14,301.5
2015-05-15,502.2
2015-05-16,161.6
2015-05-17,210.2
2015-05-18,106.9
2015-05-19,41.0
2015-05-20,186.0
2015-05-21,545.6
2015-05-22,341.4
2015-05-23,325.2
2015-05-24,63.3
2015-05-25,29.6
2015-05-26,215.5
