Date,Energy
2015-01-02,355.1
2015-01-03,485.8
2015-01-04,932.2
2015-01-05,975.3
2015-01-06,717.1
2015-01-07,58.4
2015-01-08,65.0
2015-01-09,303.7
2015-01-10,589.8
2015-01-11,589.5
2015-01-12,546.9
2015-01-13,121.4
2015-01-14,162.3
2015-01-15,239.3
2015-01-16,455.2
2015-01-17,615.6
2015-01-18,634.6
2015-01-19,293.4
2015-01-20,338.0
2015-01-21,281.5
2015-01-22,474.9
2015-01-23,702.9
2015-01-24,594.0
2015-01-25,112.6
2015-01-26,116.5
2015-01-27,246.1
2015-01-28,541.5
2015-01-29,621.1
2015-01-30,1144.9
2015-01-31,874.2
2015-02-01,856.9
2015-02-02,927.0
2015-02-03,785.6
2015-02-04,829.4
2015-02-05,606.0
2015-02-06,917.7
2015-02-07,335.1
2015-02-08,640.2
2015-02-09,912.5
2015-02-10,782.8
2015-02-11,247.9
2015-02-12,92.1
2015-02-13,122.2
2015-02-14,142.6
2015-02-15,194.3
2015-02-16,685.5
2015-02-17,740.8
2015-02-18,923.1
2015-02-19,196.7
2015-02-20,35.7
2015-02-21,850.1
2015-02-22,668.4
2015-02-23,369.5
2015-02-24,759.7
2015-02-25,637.5
2015-02-26,587.9
2015-02-27,422.3
2015-02-28,81.3
2015-03-01,65.5
2015-03-02,379.9
2015-03-03,552.5
2015-03-04,300.0
2015-03-05,1112.7
2015-03-06,683.0
2015-03-07,672.0
2015-03-08,191.4
2015-03-09,271.2
2015-03-10,300.3
2015-03-11,285.4
2015-03-12,600.5
2015-03-13,455.5
2015-03-14,115.1
2015-03-15,921.2
2015-03-16,1190.1
2015-03-17,667.5
2015-03-18,100.5
2015-03-19,84.1
2015-03-20,291.1
2015-03-21,910.8
2015-03-22,731.2
2015-03-23,145.0
2015-03-24,1016.5
2015-03-25,778.5
2015-03-26,447.5
2015-03-27,729.3
2015-03-28,821.9
2015-03-29,357.6
2015-03-30,737.5
2015-03-31,403.5
2015-04-01,888.6
2015-04-02,168.9
2015-04-03,312.7
2015-04-04,606.8
2015-04-05,629.5
2015-04-06,851.5
2015-04-07,708.7
2015-04-08,852.6
2015-04-09,508.8
2015-04-10,75.7
2015-04-11,201.7
2015-04-12,63.9
2015-04-13,101.4
2015-04-14,210.3
2015-04-15,109.6
2015-04-16,164.4
2015-04-17,396.8
2015-04-18,74.2
2015-04-19,162.6
2015-04-20,62.5
2015-04-21,199.4
2015-04-22,155.3
2015-04-23,399.9
2015-04-24,333.1
2015-04-25,53.3
2015-04-26,194.2
2015-04-27,449.9
2015-04-28,881.6
2015-04-29,327.4
2015-04-30,215.4
2015-05-01,128.9
2015-05-02,334.6
2015-05-03,36.0
2015-05-04,118.9
2015-05-05,295.7
2015-05-06,125.5
2015-05-07,433.5
2015-05-08,139.6
2015-05-09,553.9
2015-05-10,416.8
2015-05-11,411.2
2015-05-12,203.3
2015-05-13,153.5
2015-05-14,325.5
2015-05-15,660.5
2015-05-16,456.6
2015-05-17,365.9
2015-05-18,122.3
2015-05-19,101.9
2015-05-20,121.3
2015-05-21,362.8
2015-05-22,472.0
2015-05-23,242.2
2015-05-24,102.7
2015-05-25,73.0
2015-05-26,77.0
2015-05-27,191.8
2015-05-28,200.8
2015-05-29,126.5
2015-05-30,51.2
2015-05-31,50.1
2015-06-01,33.7
2015-06-02,64.8
2015-06-03,177.2
2015-06-04,109.3
2015-06-05,147.1
2015-06-06,125.4
2015-06-07,92.8
2015-06-08,86.6
2015-06-09,58.3
2015-06-10,26.0
2015-06-11,43.9
2015-06-12,319.4
2015-06-13,725.4
2015-06-14,388.1
2015-06-15,61.5
2015-06-16,197.4
2015-06-17,350.6
2015-06-18,682.0
2015-06-19,265.8
2015-06-20,237.3
2015-06-21,321.0
2015-06-22,151.2
2015-06-23,220.3
2015-06-24,250.4
2015-06-25,154.7
2015-06-26,448.0
2015-06-27,495.1
2015-06-28,117.7
2015-06-29,158.1
2015-06-30,105.3
2015-07-01,79.0
2015-07-02,63.6
2015-07-03,137.3
2015-07-04,110.2
2015-07-05,74.4
2015-07-06,116.4
2015-07-07,69.4
2015-07-08,63.1
2015-07-09,176.0
2015-07-10,153.0
2015-07-11,123.8
2015-07-12,156.6
2015-07-13,92.3
2015-07-14,99.7
2015-07-15,43.5
2015-07-16,70.4
2015-07-17,73.2
2015-07-18,210.0
2015-07-19,184.4
2015-07-20,159.1
2015-07-21,126.9
2015-07-22,110.8
2015-07-23,165.9
