,wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/custom/name,config/custom/zone,config/custom/train_window,config/custom/valid_window,config/custom/t_size,config/custom/batch_size,config/custom/steps,config/custom/patience,config/custom/swa_step_start,config/custom/steps_per_print,config/gan/initial_noise_size,config/gan/noise_size,config/gan/hidden_size,config/gan/mlp_size,config/gan/num_layers,config/gan/generator_lr,config/gan/discriminator_lr,config/gan/init_mult1,config/gan/init_mult2,config/gan/weight_decay,logdir
0,-1114.2347842945771,True,15,e6910ac2,2024-03-29_00-16-59,1711667819,22.370157480239868,308.3809790611267,21300,hpc-c11-node22.unitn.it,192.168.115.155,308.3809790611267,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,e6910ac2
1,-926.8407796223959,True,1,b84bd9ac,2024-03-29_00-12-23,1711667543,25.120877265930176,25.120877265930176,21582,hpc-c11-node22.unitn.it,192.168.115.155,25.120877265930176,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,b84bd9ac
2,-1095.4968746409697,True,15,a3a3934f,2024-03-29_00-16-49,1711667809,16.48223042488098,282.34112215042114,21665,hpc-c11-node22.unitn.it,192.168.115.155,282.34112215042114,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a3a3934f
3,-943.8367553710938,True,1,6dc14f86,2024-03-29_00-12-37,1711667557,20.720749378204346,20.720749378204346,21770,hpc-c11-node22.unitn.it,192.168.115.155,20.720749378204346,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,6dc14f86
4,-947.9786037868923,True,1,fe62baf6,2024-03-29_00-12-55,1711667575,25.949694395065308,25.949694395065308,21852,hpc-c11-node22.unitn.it,192.168.115.155,25.949694395065308,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,fe62baf6
5,-1031.099411908318,True,4,1932f990,2024-03-29_00-14-15,1711667655,20.28373432159424,93.81294131278992,21988,hpc-c11-node22.unitn.it,192.168.115.155,93.81294131278992,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,1932f990
6,-926.4352213541666,True,1,169e0393,2024-03-29_00-13-20,1711667600,24.01717257499695,24.01717257499695,22075,hpc-c11-node22.unitn.it,192.168.115.155,24.01717257499695,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,169e0393
7,-1019.0519516888787,True,4,cb5171f8,2024-03-29_00-14-43,1711667683,18.682451248168945,88.6397819519043,22176,hpc-c11-node22.unitn.it,192.168.115.155,88.6397819519043,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,cb5171f8
8,-941.4997872745289,True,1,a82171ed,2024-03-29_00-13-49,1711667629,20.264713048934937,20.264713048934937,22258,hpc-c11-node22.unitn.it,192.168.115.155,20.264713048934937,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a82171ed
9,-930.3476239372702,True,1,61958cbf,2024-03-29_00-14-04,1711667644,19.597406148910522,19.597406148910522,22344,hpc-c11-node22.unitn.it,192.168.115.155,19.597406148910522,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,61958cbf
10,-1068.7467041015625,True,15,a253011c,2024-03-29_00-22-48,1711668168,24.895775079727173,509.3660571575165,22427,hpc-c11-node22.unitn.it,192.168.115.155,509.3660571575165,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a253011c
11,-1016.0531005859375,True,4,13912317,2024-03-29_00-16-12,1711667772,22.0601065158844,102.27114176750183,22625,hpc-c11-node22.unitn.it,192.168.115.155,102.27114176750183,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,13912317
12,-955.8257984834559,True,1,e12a36d4,2024-03-29_00-14-56,1711667696,15.268104076385498,15.268104076385498,22707,hpc-c11-node22.unitn.it,192.168.115.155,15.268104076385498,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,e12a36d4
13,-1005.876513671875,True,4,f69b542c,2024-03-29_00-17-08,1711667828,26.74750256538391,126.51455450057983,22791,hpc-c11-node22.unitn.it,192.168.115.155,126.51455450057983,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,f69b542c
14,-939.1695963541666,True,1,b2fa22f3,2024-03-29_00-16-08,1711667768,40.683024644851685,40.683024644851685,22961,hpc-c11-node22.unitn.it,192.168.115.155,40.683024644851685,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,b2fa22f3
15,-943.1298074161305,True,1,bd3286e0,2024-03-29_00-16-28,1711667788,38.58875870704651,38.58875870704651,23043,hpc-c11-node22.unitn.it,192.168.115.155,38.58875870704651,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,bd3286e0
16,-1099.143653420841,True,15,e3f5f897,2024-03-29_00-22-19,1711668139,19.52205204963684,368.46774315834045,23127,hpc-c11-node22.unitn.it,192.168.115.155,368.46774315834045,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,e3f5f897
17,-1032.510450575087,True,4,8813dee4,2024-03-29_00-17-56,1711667876,19.45484972000122,80.85421657562256,23293,hpc-c11-node22.unitn.it,192.168.115.155,80.85421657562256,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,8813dee4
18,-939.6533325195312,True,1,d66e71e9,2024-03-29_00-17-29,1711667849,27.10943579673767,27.10943579673767,23384,hpc-c11-node22.unitn.it,192.168.115.155,27.10943579673767,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,d66e71e9
19,-1010.0017018037684,True,4,a8ca1e11,2024-03-29_00-18-42,1711667922,14.791760444641113,76.51852107048035,23472,hpc-c11-node22.unitn.it,192.168.115.155,76.51852107048035,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a8ca1e11
20,-1009.372418571921,True,4,6e77497b,2024-03-29_00-19-15,1711667955,17.654465675354004,95.64951992034912,23559,hpc-c11-node22.unitn.it,192.168.115.155,95.64951992034912,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,6e77497b
21,-951.2582630830652,True,1,06855085,2024-03-29_00-18-50,1711667930,46.01404023170471,46.01404023170471,23724,hpc-c11-node22.unitn.it,192.168.115.155,46.01404023170471,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,06855085
22,-925.2371036305148,True,1,6ecb791a,2024-03-29_00-18-47,1711667927,25.04387140274048,25.04387140274048,23811,hpc-c11-node22.unitn.it,192.168.115.155,25.04387140274048,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,6ecb791a
23,-1072.6081830193016,True,15,74918b42,2024-03-29_00-23-30,1711668210,14.61055040359497,290.7454538345337,23892,hpc-c11-node22.unitn.it,192.168.115.155,290.7454538345337,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,74918b42
24,-949.4823626349954,True,1,a2bc3cb4,2024-03-29_00-19-37,1711667977,41.572675704956055,41.572675704956055,23974,hpc-c11-node22.unitn.it,192.168.115.155,41.572675704956055,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a2bc3cb4
25,-949.5531939338235,True,1,e6e0b657,2024-03-29_00-19-39,1711667979,28.449737787246704,28.449737787246704,24069,hpc-c11-node22.unitn.it,192.168.115.155,28.449737787246704,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,e6e0b657
26,-950.8338758680555,True,1,550f0769,2024-03-29_00-20-03,1711668003,28.503400087356567,28.503400087356567,24229,hpc-c11-node22.unitn.it,192.168.115.155,28.503400087356567,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,550f0769
27,-939.8670492733227,True,1,93d89620,2024-03-29_00-20-07,1711668007,21.623003482818604,21.623003482818604,24314,hpc-c11-node22.unitn.it,192.168.115.155,21.623003482818604,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,93d89620
28,-1021.4163926068475,True,4,33468803,2024-03-29_00-22-11,1711668131,43.1802237033844,122.53917288780212,24485,hpc-c11-node22.unitn.it,192.168.115.155,122.53917288780212,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,33468803
29,-965.6460205078125,True,1,59bf6c6b,2024-03-29_00-21-01,1711668061,36.35553526878357,36.35553526878357,24583,hpc-c11-node22.unitn.it,192.168.115.155,36.35553526878357,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,59bf6c6b
30,-988.675537109375,True,4,3a484f86,2024-03-29_00-22-55,1711668175,23.847566604614258,136.19104981422424,24664,hpc-c11-node22.unitn.it,192.168.115.155,136.19104981422424,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,3a484f86
31,-1143.1193359375,True,15,6fde534d,2024-03-29_00-27-17,1711668437,22.382683515548706,369.87700152397156,24750,hpc-c11-node22.unitn.it,192.168.115.155,369.87700152397156,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,6fde534d
32,-954.8993745691636,True,1,fa4104b3,2024-03-29_00-22-06,1711668126,27.02159094810486,27.02159094810486,24837,hpc-c11-node22.unitn.it,192.168.115.155,27.02159094810486,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,fa4104b3
33,-956.6984456380209,True,1,57a3ca90,2024-03-29_00-22-59,1711668179,50.28405022621155,50.28405022621155,27401,hpc-c11-node22.unitn.it,192.168.115.155,50.28405022621155,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,57a3ca90
34,-954.3162644330193,True,1,f7ea12f3,2024-03-29_00-23-12,1711668192,28.16066861152649,28.16066861152649,27489,hpc-c11-node22.unitn.it,192.168.115.155,28.16066861152649,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,f7ea12f3
35,-939.0339319565717,True,1,1e19e2ab,2024-03-29_00-23-14,1711668194,15.58530068397522,15.58530068397522,27578,hpc-c11-node22.unitn.it,192.168.115.155,15.58530068397522,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,1e19e2ab
36,-964.970458984375,True,1,8aa90dde,2024-03-29_00-23-39,1711668219,23.724159479141235,23.724159479141235,27667,hpc-c11-node22.unitn.it,192.168.115.155,23.724159479141235,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,8aa90dde
37,-943.2335887235754,True,1,9c8b3365,2024-03-29_00-23-42,1711668222,17.71064305305481,17.71064305305481,27762,hpc-c11-node22.unitn.it,192.168.115.155,17.71064305305481,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,9c8b3365
38,-1009.7220207663144,True,4,7efff575,2024-03-29_00-24-44,1711668284,19.206799268722534,67.42960977554321,27878,hpc-c11-node22.unitn.it,192.168.115.155,67.42960977554321,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,7efff575
39,-947.3570700252758,True,1,719dea81,2024-03-29_00-24-07,1711668247,18.752320289611816,18.752320289611816,27962,hpc-c11-node22.unitn.it,192.168.115.155,18.752320289611816,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,719dea81
40,-1027.286210004021,True,4,8b4f3ec3,2024-03-29_00-25-06,1711668306,16.53091311454773,69.47940230369568,28052,hpc-c11-node22.unitn.it,192.168.115.155,69.47940230369568,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,8b4f3ec3
41,-957.1021253797743,True,1,5c6a36b5,2024-03-29_00-24-26,1711668266,15.955770254135132,15.955770254135132,28216,hpc-c11-node22.unitn.it,192.168.115.155,15.955770254135132,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,5c6a36b5
42,-885.2156778971354,True,1,9e78cf3e,2024-03-29_00-24-54,1711668294,23.575161695480347,23.575161695480347,28380,hpc-c11-node22.unitn.it,192.168.115.155,23.575161695480347,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,9e78cf3e
43,-952.7848754882813,True,1,a8ed757c,2024-03-29_00-25-06,1711668306,21.13769507408142,21.13769507408142,28468,hpc-c11-node22.unitn.it,192.168.115.155,21.13769507408142,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a8ed757c
44,-958.074997845818,True,1,b4204a6f,2024-03-29_00-25-23,1711668323,20.925466299057007,20.925466299057007,28552,hpc-c11-node22.unitn.it,192.168.115.155,20.925466299057007,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,b4204a6f
45,-943.8392782772289,True,1,d69f5dd9,2024-03-29_00-25-32,1711668332,19.940845489501953,19.940845489501953,28639,hpc-c11-node22.unitn.it,192.168.115.155,19.940845489501953,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,d69f5dd9
46,-952.7955717198989,True,1,3bdb20f0,2024-03-29_00-25-36,1711668336,16.125164270401,16.125164270401,28728,hpc-c11-node22.unitn.it,192.168.115.155,16.125164270401,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,3bdb20f0
47,-964.0505574544271,True,1,b47e749b,2024-03-29_00-25-58,1711668358,25.271655559539795,25.271655559539795,28809,hpc-c11-node22.unitn.it,192.168.115.155,25.271655559539795,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,b47e749b
48,-1097.8701714409722,True,15,b75ef77e,2024-03-29_00-30-36,1711668636,18.664289712905884,294.56122159957886,28900,hpc-c11-node22.unitn.it,192.168.115.155,294.56122159957886,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,b75ef77e
49,-1015.4201904296875,True,4,4f82f1b1,2024-03-29_00-27-34,1711668454,21.474387645721436,103.42985248565674,28985,hpc-c11-node22.unitn.it,192.168.115.155,103.42985248565674,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,4f82f1b1
50,-928.6756484087775,True,1,74606a48,2024-03-29_00-26-18,1711668378,15.656208753585815,15.656208753585815,29068,hpc-c11-node22.unitn.it,192.168.115.155,15.656208753585815,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,74606a48
51,-945.9905934053309,True,1,e65e5e5d,2024-03-29_00-26-40,1711668400,20.16418743133545,20.16418743133545,29156,hpc-c11-node22.unitn.it,192.168.115.155,20.16418743133545,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,e65e5e5d
52,-961.3059737261603,True,1,0e9617f1,2024-03-29_00-27-01,1711668421,28.632363319396973,28.632363319396973,29278,hpc-c11-node22.unitn.it,192.168.115.155,28.632363319396973,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,0e9617f1
53,-961.540620691636,True,1,a4d5c911,2024-03-29_00-27-15,1711668435,25.30066704750061,25.30066704750061,29364,hpc-c11-node22.unitn.it,192.168.115.155,25.30066704750061,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,a4d5c911
54,-959.1902533637153,True,1,ee691919,2024-03-29_00-27-29,1711668449,22.077625513076782,22.077625513076782,29485,hpc-c11-node22.unitn.it,192.168.115.155,22.077625513076782,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,200,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,ee691919
