,wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/custom/name,config/custom/zone,config/custom/train_window,config/custom/valid_window,config/custom/t_size,config/custom/batch_size,config/custom/steps,config/custom/patience,config/custom/swa_step_start,config/custom/steps_per_print,config/gan/initial_noise_size,config/gan/noise_size,config/gan/hidden_size,config/gan/mlp_size,config/gan/num_layers,config/gan/generator_lr,config/gan/discriminator_lr,config/gan/init_mult1,config/gan/init_mult2,config/gan/weight_decay,logdir
0,-1059.4867876838234,True,15,27126bc2,2024-03-13_14-16-19,1710335779,18.123018741607666,257.7067587375641,91228,hpc-c11-node24.unitn.it,192.168.115.153,257.7067587375641,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0002,0.001,3,0.5,0.01,27126bc2
1,-889.0042868221508,True,1,0cded667,2024-03-13_14-12-51,1710335571,18.63732385635376,18.63732385635376,96880,hpc-c11-node24.unitn.it,192.168.115.153,18.63732385635376,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0009572527904315417,0.00018059951066214943,3,0.5,0.01,0cded667
2,-998.0354434742648,True,4,bd93ed83,2024-03-13_14-14-11,1710335651,18.669591426849365,69.080637216568,4346,hpc-c11-node24.unitn.it,192.168.115.153,69.080637216568,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.00045955482527377514,0.0010591204600820274,3,0.5,0.01,bd93ed83
3,-945.909922880285,True,4,ae96c49d,2024-03-13_14-14-47,1710335687,17.154935121536255,70.82930874824524,9139,hpc-c11-node24.unitn.it,192.168.115.153,70.82930874824524,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0025338310031407935,0.005409982509153412,3,0.5,0.01,ae96c49d
4,-904.7692547966452,True,1,202f6a8c,2024-03-13_14-14-36,1710335676,21.560473680496216,21.560473680496216,14560,hpc-c11-node24.unitn.it,192.168.115.153,21.560473680496216,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0019631331592614514,0.0007096799455413656,3,0.5,0.01,202f6a8c
5,-886.3614932789523,True,1,0bdaa29b,2024-03-13_14-14-54,1710335694,16.659907817840576,16.659907817840576,20326,hpc-c11-node24.unitn.it,192.168.115.153,16.659907817840576,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0056354037750392695,0.001262588854352445,3,0.5,0.01,0bdaa29b
6,36114464.941176474,True,15,6b521c03,2024-03-13_14-19-24,1710335964,17.107513189315796,260.9129173755646,23942,hpc-c11-node24.unitn.it,192.168.115.153,260.9129173755646,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,4.878418443211539e-05,0.04343163717367703,3,0.5,0.01,6b521c03
7,-1074.8486471737133,True,4,5e3d6fa3,2024-03-13_14-16-37,1710335797,17.46093988418579,70.67387580871582,27961,hpc-c11-node24.unitn.it,192.168.115.153,70.67387580871582,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.000289263124971072,0.005070973873874783,3,0.5,0.01,5e3d6fa3
8,-976.4831219841452,True,1,0eef2dbe,2024-03-13_14-16-10,1710335770,17.37935972213745,17.37935972213745,31767,hpc-c11-node24.unitn.it,192.168.115.153,17.37935972213745,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0021165556658597415,0.003599906295626568,3,0.5,0.01,0eef2dbe
9,-899.8020522173713,True,1,d6bba55e,2024-03-13_14-16-49,1710335809,17.771527528762817,17.771527528762817,35743,hpc-c11-node24.unitn.it,192.168.115.153,17.771527528762817,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,3,16,16,1,0.0027001004991225905,0.0008981817782798959,3,0.5,0.01,d6bba55e
