,wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/custom/name,config/custom/zone,config/custom/train_window,config/custom/valid_window,config/custom/t_size,config/custom/batch_size,config/custom/steps,config/custom/patience,config/custom/swa_step_start,config/custom/steps_per_print,config/gan/initial_noise_size,config/gan/noise_size,config/gan/hidden_size,config/gan/mlp_size,config/gan/num_layers,config/gan/generator_lr,config/gan/discriminator_lr,config/gan/init_mult1,config/gan/init_mult2,config/gan/weight_decay,logdir
0,-1.4352682863964754,True,4,bad03128,2024-03-18_17-16-48,1710778608,20.16967535018921,105.21795701980591,27631,hpc-c11-node23.unitn.it,192.168.115.148,105.21795701980591,4,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0002,0.001,3,0.5,0.01,bad03128
1,-1.5071117281913757,True,15,35190c75,2024-03-18_17-21-24,1710778884,15.544941902160645,368.13005900382996,27835,hpc-c11-node23.unitn.it,192.168.115.148,368.13005900382996,15,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,6.574363762112786e-05,0.00037802399075036495,3,0.5,0.01,35190c75
2,-1.30822055830675,True,1,3ba08942,2024-03-18_17-15-50,1710778550,16.09933567047119,16.09933567047119,27918,hpc-c11-node23.unitn.it,192.168.115.148,16.09933567047119,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.004405934337911186,0.00022483289863697425,3,0.5,0.01,3ba08942
3,-3.225431666654699,True,15,0a6bb240,2024-03-18_17-24-04,1710779044,13.605508089065552,482.93479228019714,28025,hpc-c11-node23.unitn.it,192.168.115.148,482.93479228019714,15,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.00015659331625164237,0.004412085479784808,3,0.5,0.01,0a6bb240
4,-1.8490374018164242,True,15,6f502826,2024-03-18_17-24-56,1710779096,88.93116593360901,506.22631072998047,28137,hpc-c11-node23.unitn.it,192.168.115.148,506.22631072998047,15,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0036425148732428347,0.004023943684438154,3,0.5,0.01,6f502826
5,-1.2682492136955261,True,1,35357e74,2024-03-18_17-17-41,1710778661,52.57346296310425,52.57346296310425,28220,hpc-c11-node23.unitn.it,192.168.115.148,52.57346296310425,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0010436806496193413,0.00011506949637696482,3,0.5,0.01,35357e74
6,-1.2794253300218021,True,1,dd4d2968,2024-03-18_17-17-56,1710778676,13.89640212059021,13.89640212059021,28329,hpc-c11-node23.unitn.it,192.168.115.148,13.89640212059021,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0004739807964460148,0.0001067331759824394,3,0.5,0.01,dd4d2968
7,-1.4617237168199875,True,1,7ea5c435,2024-03-18_17-21-05,1710778865,106.05892372131348,106.05892372131348,28419,hpc-c11-node23.unitn.it,192.168.115.148,106.05892372131348,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,4.981108235338367e-05,0.00010464818734869742,3,0.5,0.01,7ea5c435
8,-620.919438979205,True,15,0768a46e,2024-03-18_17-29-26,1710779366,12.772438526153564,574.6653816699982,28506,hpc-c11-node23.unitn.it,192.168.115.148,574.6653816699982,15,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.000809656558537584,0.040638598247928134,3,0.5,0.01,0768a46e
9,-1.2673374835182638,True,1,a9f08d73,2024-03-18_17-22-39,1710778959,140.05462098121643,140.05462098121643,28588,hpc-c11-node23.unitn.it,192.168.115.148,140.05462098121643,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.007244151448971422,0.0009554442784223877,3,0.5,0.01,a9f08d73
10,-451.85090188419116,True,15,c68545cf,2024-03-18_17-28-13,1710779293,14.483586311340332,406.99518847465515,28677,hpc-c11-node23.unitn.it,192.168.115.148,406.99518847465515,15,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,9.31912258493187e-05,0.04233211672624209,3,0.5,0.01,c68545cf
11,-1.3873284739606522,True,1,22591b44,2024-03-18_17-23-38,1710779018,83.58660221099854,83.58660221099854,28793,hpc-c11-node23.unitn.it,192.168.115.148,83.58660221099854,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,3.0955558730087185e-05,0.00010320574228778263,3,0.5,0.01,22591b44
12,-1.404746364144718,True,1,3c12bb43,2024-03-18_17-23-02,1710778982,15.506164312362671,15.506164312362671,28877,hpc-c11-node23.unitn.it,192.168.115.148,15.506164312362671,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.005301167397690427,0.003840674883110584,3,0.5,0.01,3c12bb43
13,-1.329404560958638,True,4,9f515bd7,2024-03-18_17-26-57,1710779217,16.30363893508911,162.59060049057007,28964,hpc-c11-node23.unitn.it,192.168.115.148,162.59060049057007,4,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0002085947130953289,0.0002628351975711357,3,0.5,0.01,9f515bd7
14,-1.9551145399318022,True,4,61affb9f,2024-03-18_17-27-02,1710779222,32.824732542037964,126.59945607185364,29058,hpc-c11-node23.unitn.it,192.168.115.148,126.59945607185364,4,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0007942059661443167,0.0058079585159653046,3,0.5,0.01,61affb9f
15,-1.7159397041096407,True,4,6fed8867,2024-03-18_17-26-54,1710779214,35.16466569900513,88.6234200000763,31343,hpc-c11-node23.unitn.it,192.168.115.148,88.6234200000763,4,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,1.0513241018041837e-05,0.003187366890307165,3,0.5,0.01,6fed8867
16,-1.3907392866471235,True,1,c386b7a7,2024-03-18_17-28-19,1710779299,113.38704705238342,113.38704705238342,31429,hpc-c11-node23.unitn.it,192.168.115.148,113.38704705238342,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.007222930930848673,0.00021141995054409343,3,0.5,0.01,c386b7a7
17,-1.4168007093317367,True,1,67d3f432,2024-03-18_17-27-20,1710779240,14.73407769203186,14.73407769203186,31512,hpc-c11-node23.unitn.it,192.168.115.148,14.73407769203186,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0015744530549033436,0.0003699166939530194,3,0.5,0.01,67d3f432
18,-1.4451880349832422,True,1,0b891d3e,2024-03-18_17-28-47,1710779327,17.292646646499634,17.292646646499634,31594,hpc-c11-node23.unitn.it,192.168.115.148,17.292646646499634,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,6.369904061850991e-05,0.00045157978004220956,3,0.5,0.01,0b891d3e
19,-1.3971592258004581,True,1,95a72039,2024-03-18_17-29-09,1710779349,17.5738844871521,17.5738844871521,31678,hpc-c11-node23.unitn.it,192.168.115.148,17.5738844871521,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0020653179287223973,0.00022288839082119629,3,0.5,0.01,95a72039
20,-1.3479874274309944,True,1,03104145,2024-03-18_17-29-48,1710779388,34.03279256820679,34.03279256820679,31761,hpc-c11-node23.unitn.it,192.168.115.148,34.03279256820679,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.003095308717211629,0.0014721793507073003,3,0.5,0.01,03104145
21,-1.4872892674277811,True,1,a3b02c6d,2024-03-18_17-29-44,1710779384,13.785860061645508,13.785860061645508,31845,hpc-c11-node23.unitn.it,192.168.115.148,13.785860061645508,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.0004186730035479041,0.0035643013709285706,3,0.5,0.01,a3b02c6d
22,-1.4104136999915629,True,1,0d03d936,2024-03-18_17-30-02,1710779402,13.421890020370483,13.421890020370483,31928,hpc-c11-node23.unitn.it,192.168.115.148,13.421890020370483,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.00036762099251565124,0.00010508888770688158,3,0.5,0.01,0d03d936
23,-1.4677857335876017,True,1,9da91398,2024-03-18_17-30-13,1710779413,15.973835706710815,15.973835706710815,32013,hpc-c11-node23.unitn.it,192.168.115.148,15.973835706710815,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.00016067025985068743,0.00020569382528499798,3,0.5,0.01,9da91398
24,-1.38568197629031,True,1,7f0c99a6,2024-03-18_17-30-25,1710779425,16.22257423400879,16.22257423400879,32095,hpc-c11-node23.unitn.it,192.168.115.148,16.22257423400879,1,SUD_vH1,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,200,1000,2500,5,5,1,1,16,1,0.00046517918823624996,0.00040845462387074,3,0.5,0.01,7f0c99a6
