,wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/custom/name,config/custom/zone,config/custom/train_window,config/custom/valid_window,config/custom/t_size,config/custom/batch_size,config/custom/steps,config/custom/patience,config/custom/swa_step_start,config/custom/steps_per_print,config/gan/initial_noise_size,config/gan/noise_size,config/gan/hidden_size,config/gan/mlp_size,config/gan/num_layers,config/gan/generator_lr,config/gan/discriminator_lr,config/gan/init_mult1,config/gan/init_mult2,config/gan/weight_decay,logdir
0,-1120.4743109809028,True,15,6c857d16,2024-04-01_12-05-31,1711965931,87.54510450363159,810.5216183662415,94417,hpc-c11-node23.unitn.it,192.168.115.148,810.5216183662415,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1e-05,0.001,3,0.5,0.01,6c857d16
1,-1212.8404541015625,True,15,662a3fa1,2024-04-01_12-20-18,1711966818,214.1552813053131,1687.1486117839813,94620,hpc-c11-node23.unitn.it,192.168.115.148,1687.1486117839813,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,9.648242720413157e-06,0.0015361091748533266,3,0.5,0.01,662a3fa1
2,-909.2642008463541,True,1,40900ef1,2024-04-01_11-55-53,1711965353,199.37773275375366,199.37773275375366,94704,hpc-c11-node23.unitn.it,192.168.115.148,199.37773275375366,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,2.176742573881652e-06,0.00031234093434269017,3,0.5,0.01,40900ef1
3,-927.3460354275173,True,1,afdcf69c,2024-04-01_11-53-25,1711965205,33.428942918777466,33.428942918777466,94811,hpc-c11-node23.unitn.it,192.168.115.148,33.428942918777466,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1.6884691376029286e-06,0.000332485121234163,3,0.5,0.01,afdcf69c
4,-4763102.399356618,True,15,ce789f88,2024-04-01_12-20-28,1711966828,61.26460385322571,1634.0821225643158,94895,hpc-c11-node23.unitn.it,192.168.115.148,1634.0821225643158,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,1.2467747505948503e-05,0.01809306969152929,3,0.5,0.01,ce789f88
5,-1083.1576286764705,True,4,76f13968,2024-04-01_12-02-28,1711965748,75.35085129737854,461.0422673225403,95002,hpc-c11-node23.unitn.it,192.168.115.148,461.0422673225403,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,3.247142297504878e-06,0.004563840362062723,3,0.5,0.01,76f13968
6,-949.1626281738281,True,1,7bdaa33d,2024-04-01_11-57-01,1711965421,29.250263929367065,29.250263929367065,95116,hpc-c11-node23.unitn.it,192.168.115.148,29.250263929367065,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,0.000802908320434367,0.0009685964597202782,3,0.5,0.01,7bdaa33d
7,-929.9955911075367,True,1,740cea7a,2024-04-01_11-58-45,1711965525,100.1065981388092,100.1065981388092,95202,hpc-c11-node23.unitn.it,192.168.115.148,100.1065981388092,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,0.0013340128130251254,0.0013357608550112333,3,0.5,0.01,740cea7a
8,-7198.14453125,True,4,97287c51,2024-04-01_12-23-27,1711967007,667.167652130127,1543.9793601036072,95292,hpc-c11-node23.unitn.it,192.168.115.148,1543.9793601036072,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,4.697178746945684e-06,0.07575791637191932,3,0.5,0.01,97287c51
9,-1.9093121239238133e+29,True,15,65f80ae8,2024-04-01_12-26-39,1711967199,60.69861340522766,1708.6195271015167,95375,hpc-c11-node23.unitn.it,192.168.115.148,1708.6195271015167,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,0.0010781964011905422,0.9739680866080479,3,0.5,0.01,65f80ae8
10,-1057.4512939453125,True,1,0e584a9d,2024-04-01_12-01-25,1711965685,136.24441289901733,136.24441289901733,95484,hpc-c11-node23.unitn.it,192.168.115.148,136.24441289901733,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,2.1803022626810816e-05,0.00558811800923169,3,0.5,0.01,0e584a9d
11,-478954.13602941175,True,15,c42afbcc,2024-04-01_12-12-28,1711966348,44.75546216964722,771.7805695533752,95575,hpc-c11-node23.unitn.it,192.168.115.148,771.7805695533752,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,4.9768126742746806e-05,0.03849192028815511,3,0.5,0.01,c42afbcc
12,-650.32216796875,True,1,85c76beb,2024-04-01_12-02-48,1711965768,85.15410423278809,85.15410423278809,95658,hpc-c11-node23.unitn.it,192.168.115.148,85.15410423278809,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,64,250,1000,2500,5,5,3,16,16,1,0.09893408833603044,0.0007223232086239957,3,0.5,0.01,85c76beb
13,-995.7326456705729,True,1,9bf926fa,2024-04-01_12-06-49,1711966009,275.2439467906952,275.2439467906952,95784,hpc-c11-node23.unitn.it,192.168.115.148,275.2439467906952,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,0.0013055505761715089,0.007227041025820156,3,0.5,0.01,9bf926fa
14,-14553755.705882354,True,15,75e7b765,2024-04-01_12-29-58,1711967398,43.68271327018738,1626.0502433776855,98073,hpc-c11-node23.unitn.it,192.168.115.148,1626.0502433776855,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,0.00044070289061856393,0.9227226334372548,3,0.5,0.01,75e7b765
15,-1.2682380495655134e+21,True,15,203ee928,2024-04-01_12-18-03,1711966683,67.52886605262756,856.1883087158203,98165,hpc-c11-node23.unitn.it,192.168.115.148,856.1883087158203,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,0.0005782425625953261,0.45391348110220164,3,0.5,0.01,203ee928
16,-666.6335790297564,True,1,e23c5839,2024-04-01_12-06-33,1711965993,113.5801887512207,113.5801887512207,369,hpc-c11-node23.unitn.it,192.168.115.148,113.5801887512207,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,0.1060092796757692,0.002234466604375708,3,0.5,0.01,e23c5839
17,-965.7310791015625,True,1,54b490a9,2024-04-01_12-06-48,1711966008,43.83013391494751,43.83013391494751,629,hpc-c11-node23.unitn.it,192.168.115.148,43.83013391494751,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,0.0003560613688883218,0.0007995703892461992,3,0.5,0.01,54b490a9
