wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-930.560931037454,False,1,001eec14,2024-03-11_17-00-52,1710172852,5.871402025222778,5.871402025222778,27694,MacBookAir-di-Nicola,127.0.0.1,5.871402025222778,1
-980.9803825827206,False,2,001eec14,2024-03-11_17-00-57,1710172857,5.507297992706299,11.378700017929077,27694,MacBookAir-di-Nicola,127.0.0.1,11.378700017929077,2
-1015.4795245002298,False,3,001eec14,2024-03-11_17-01-07,1710172867,9.609525918960571,20.98822593688965,27694,MacBookAir-di-Nicola,127.0.0.1,20.98822593688965,3
-1011.368792365579,False,4,001eec14,2024-03-11_17-01-14,1710172874,7.437917232513428,28.426143169403076,27694,MacBookAir-di-Nicola,127.0.0.1,28.426143169403076,4
-991.1545984604779,False,5,001eec14,2024-03-11_17-01-19,1710172879,4.807267904281616,33.23341107368469,27694,MacBookAir-di-Nicola,127.0.0.1,33.23341107368469,5
-996.5136790556066,False,6,001eec14,2024-03-11_17-01-24,1710172884,4.96451997756958,38.19793105125427,27694,MacBookAir-di-Nicola,127.0.0.1,38.19793105125427,6
-1022.0981983857996,False,7,001eec14,2024-03-11_17-01-29,1710172889,5.401207208633423,43.599138259887695,27694,MacBookAir-di-Nicola,127.0.0.1,43.599138259887695,7
-1010.4234224207261,False,8,001eec14,2024-03-11_17-01-46,1710172906,16.956655979156494,60.55579423904419,27694,MacBookAir-di-Nicola,127.0.0.1,60.55579423904419,8
-1032.5458661247703,False,9,001eec14,2024-03-11_17-02-04,1710172924,17.38673210144043,77.94252634048462,27694,MacBookAir-di-Nicola,127.0.0.1,77.94252634048462,9
-1016.1956392176011,False,10,001eec14,2024-03-11_17-02-10,1710172930,5.99241304397583,83.93493938446045,27694,MacBookAir-di-Nicola,127.0.0.1,83.93493938446045,10
-1055.443266027114,False,11,001eec14,2024-03-11_17-02-15,1710172935,4.902411699295044,88.8373510837555,27694,MacBookAir-di-Nicola,127.0.0.1,88.8373510837555,11
-1055.500674977022,False,12,001eec14,2024-03-11_17-02-20,1710172940,5.023928165435791,93.86127924919128,27694,MacBookAir-di-Nicola,127.0.0.1,93.86127924919128,12
-1034.3085219439338,False,13,001eec14,2024-03-11_17-02-25,1710172945,5.124197959899902,98.98547720909119,27694,MacBookAir-di-Nicola,127.0.0.1,98.98547720909119,13
-1050.8287748448988,False,14,001eec14,2024-03-11_17-02-30,1710172950,5.149692058563232,104.13516926765442,27694,MacBookAir-di-Nicola,127.0.0.1,104.13516926765442,14
-1052.3155373965992,True,15,001eec14,2024-03-11_17-02-35,1710172955,5.083614110946655,109.21878337860107,27694,MacBookAir-di-Nicola,127.0.0.1,109.21878337860107,15
