wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1068.4767348345588,False,1,06a3cea7,2024-03-12_14-11-31,1710249091,11.67524003982544,11.67524003982544,48714,MacBookAir-di-Nicola,127.0.0.1,11.67524003982544,1
-1135.9878899069392,False,2,06a3cea7,2024-03-12_14-11-52,1710249112,20.542729139328003,32.21796917915344,48714,MacBookAir-di-Nicola,127.0.0.1,32.21796917915344,2
-1228.5504581227021,False,3,06a3cea7,2024-03-12_14-12-15,1710249135,23.373735189437866,55.59170436859131,48714,MacBookAir-di-Nicola,127.0.0.1,55.59170436859131,3
-1401.104061351103,False,4,06a3cea7,2024-03-12_14-12-34,1710249154,18.46803593635559,74.0597403049469,48714,MacBookAir-di-Nicola,127.0.0.1,74.0597403049469,4
-1491.648889878217,False,5,06a3cea7,2024-03-12_14-12-46,1710249166,12.009181022644043,86.06892132759094,48714,MacBookAir-di-Nicola,127.0.0.1,86.06892132759094,5
-1680.2411606732537,False,6,06a3cea7,2024-03-12_14-13-04,1710249184,18.45372700691223,104.52264833450317,48714,MacBookAir-di-Nicola,127.0.0.1,104.52264833450317,6
-1825.5724810431984,False,7,06a3cea7,2024-03-12_14-13-28,1710249208,23.780267000198364,128.30291533470154,48714,MacBookAir-di-Nicola,127.0.0.1,128.30291533470154,7
-1982.1305003446691,False,8,06a3cea7,2024-03-12_14-13-52,1710249232,23.37838077545166,151.6812961101532,48714,MacBookAir-di-Nicola,127.0.0.1,151.6812961101532,8
-2134.2553064682907,False,9,06a3cea7,2024-03-12_14-14-18,1710249258,26.627896070480347,178.30919218063354,48714,MacBookAir-di-Nicola,127.0.0.1,178.30919218063354,9
-2267.1538947610293,False,10,06a3cea7,2024-03-12_14-14-37,1710249277,18.575595140457153,196.8847873210907,48714,MacBookAir-di-Nicola,127.0.0.1,196.8847873210907,10
