wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1215.6427791819854,False,1,151c2e19,2024-03-12_14-36-58,1710250618,11.520546197891235,11.520546197891235,51623,MacBookAir-di-Nicola,127.0.0.1,11.520546197891235,1
-1642.39158002068,False,2,151c2e19,2024-03-12_14-37-11,1710250631,13.106699705123901,24.627245903015137,51623,MacBookAir-di-Nicola,127.0.0.1,24.627245903015137,2
-2668.155474494485,False,3,151c2e19,2024-03-12_14-37-24,1710250644,12.617128849029541,37.24437475204468,51623,MacBookAir-di-Nicola,127.0.0.1,37.24437475204468,3
-6483.20849609375,False,4,151c2e19,2024-03-12_14-37-33,1710250653,9.375293970108032,46.61966872215271,51623,MacBookAir-di-Nicola,127.0.0.1,46.61966872215271,4
-34490.64487591912,False,5,151c2e19,2024-03-12_14-37-42,1710250662,9.006046295166016,55.625715017318726,51623,MacBookAir-di-Nicola,127.0.0.1,55.625715017318726,5
-405572.4007352941,False,6,151c2e19,2024-03-12_14-37-52,1710250672,9.588666200637817,65.21438121795654,51623,MacBookAir-di-Nicola,127.0.0.1,65.21438121795654,6
-69606624.94117647,False,7,151c2e19,2024-03-12_14-38-04,1710250684,11.798519134521484,77.01290035247803,51623,MacBookAir-di-Nicola,127.0.0.1,77.01290035247803,7
-74714968.47058824,False,8,151c2e19,2024-03-12_14-38-16,1710250696,12.22810983657837,89.2410101890564,51623,MacBookAir-di-Nicola,127.0.0.1,89.2410101890564,8
-87892988.23529412,False,9,151c2e19,2024-03-12_14-38-28,1710250708,12.051471948623657,101.29248213768005,51623,MacBookAir-di-Nicola,127.0.0.1,101.29248213768005,9
3636265.411764706,False,10,151c2e19,2024-03-12_14-38-39,1710250719,11.416692972183228,112.70917510986328,51623,MacBookAir-di-Nicola,127.0.0.1,112.70917510986328,10
