wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1091.0923641429229,False,1,3a337e04,2024-03-12_14-11-23,1710249083,14.299600839614868,14.299600839614868,48707,MacBookAir-di-Nicola,127.0.0.1,14.299600839614868,1
-1156.8206428079045,False,2,3a337e04,2024-03-12_14-11-33,1710249093,9.961839199066162,24.26144003868103,48707,MacBookAir-di-Nicola,127.0.0.1,24.26144003868103,2
-1210.254545323989,False,3,3a337e04,2024-03-12_14-11-56,1710249116,22.994734048843384,47.256174087524414,48707,MacBookAir-di-Nicola,127.0.0.1,47.256174087524414,3
-1323.8550594554229,False,4,3a337e04,2024-03-12_14-12-19,1710249139,22.933082818984985,70.1892569065094,48707,MacBookAir-di-Nicola,127.0.0.1,70.1892569065094,4
-1430.133056640625,False,5,3a337e04,2024-03-12_14-12-36,1710249156,16.73090100288391,86.92015790939331,48707,MacBookAir-di-Nicola,127.0.0.1,86.92015790939331,5
-1594.3877096737133,False,6,3a337e04,2024-03-12_14-12-50,1710249170,14.314807891845703,101.23496580123901,48707,MacBookAir-di-Nicola,127.0.0.1,101.23496580123901,6
-1744.9597311580883,False,7,3a337e04,2024-03-12_14-13-08,1710249188,17.196765899658203,118.43173170089722,48707,MacBookAir-di-Nicola,127.0.0.1,118.43173170089722,7
-1930.2885813993566,False,8,3a337e04,2024-03-12_14-13-32,1710249212,24.436922073364258,142.86865377426147,48707,MacBookAir-di-Nicola,127.0.0.1,142.86865377426147,8
-2202.1052102481617,False,9,3a337e04,2024-03-12_14-13-55,1710249235,22.656563997268677,165.52521777153015,48707,MacBookAir-di-Nicola,127.0.0.1,165.52521777153015,9
-2539.070427389706,False,10,3a337e04,2024-03-12_14-14-23,1710249263,27.87609314918518,193.40131092071533,48707,MacBookAir-di-Nicola,127.0.0.1,193.40131092071533,10
