wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-948.6494320140165,False,1,a79bb16a,2024-03-12_13-59-18,1710248358,5.249804973602295,5.249804973602295,47786,MacBookAir-di-Nicola,127.0.0.1,5.249804973602295,1
-962.9412159639246,False,2,a79bb16a,2024-03-12_13-59-23,1710248363,5.054718017578125,10.30452299118042,47786,MacBookAir-di-Nicola,127.0.0.1,10.30452299118042,2
-996.1921889361213,False,3,a79bb16a,2024-03-12_13-59-28,1710248368,5.257066965103149,15.56158995628357,47786,MacBookAir-di-Nicola,127.0.0.1,15.56158995628357,3
-988.0393676757812,False,4,a79bb16a,2024-03-12_13-59-37,1710248377,8.422559022903442,23.98414897918701,47786,MacBookAir-di-Nicola,127.0.0.1,23.98414897918701,4
-998.9393059225644,False,5,a79bb16a,2024-03-12_13-59-47,1710248387,10.039606094360352,34.02375507354736,47786,MacBookAir-di-Nicola,127.0.0.1,34.02375507354736,5
-987.8455595128677,False,6,a79bb16a,2024-03-12_14-00-01,1710248401,14.668606042861938,48.6923611164093,47786,MacBookAir-di-Nicola,127.0.0.1,48.6923611164093,6
-1024.9838615866267,False,7,a79bb16a,2024-03-12_14-00-20,1710248420,18.711821794509888,67.40418291091919,47786,MacBookAir-di-Nicola,127.0.0.1,67.40418291091919,7
-1009.0472735236673,False,8,a79bb16a,2024-03-12_14-00-32,1710248432,11.689842939376831,79.09402585029602,47786,MacBookAir-di-Nicola,127.0.0.1,79.09402585029602,8
-1030.9170639935662,False,9,a79bb16a,2024-03-12_14-00-41,1710248441,8.506239891052246,87.60026574134827,47786,MacBookAir-di-Nicola,127.0.0.1,87.60026574134827,9
-1039.547654095818,False,10,a79bb16a,2024-03-12_14-00-45,1710248445,4.678007125854492,92.27827286720276,47786,MacBookAir-di-Nicola,127.0.0.1,92.27827286720276,10
-1056.1979011086858,False,11,a79bb16a,2024-03-12_14-00-50,1710248450,4.713002920150757,96.99127578735352,47786,MacBookAir-di-Nicola,127.0.0.1,96.99127578735352,11
-1036.3871352251838,False,12,a79bb16a,2024-03-12_14-00-55,1710248455,4.984023094177246,101.97529888153076,47786,MacBookAir-di-Nicola,127.0.0.1,101.97529888153076,12
-1038.9453843060662,False,13,a79bb16a,2024-03-12_14-01-00,1710248460,5.001091003417969,106.97638988494873,47786,MacBookAir-di-Nicola,127.0.0.1,106.97638988494873,13
-1045.959680893842,False,14,a79bb16a,2024-03-12_14-01-05,1710248465,4.670325040817261,111.64671492576599,47786,MacBookAir-di-Nicola,127.0.0.1,111.64671492576599,14
-1068.210625143612,True,15,a79bb16a,2024-03-12_14-01-09,1710248469,4.669481039047241,116.31619596481323,47786,MacBookAir-di-Nicola,127.0.0.1,116.31619596481323,15
