wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1136.7462194106158,False,1,d0af2d77,2024-03-12_13-59-22,1710248362,5.23047399520874,5.23047399520874,47830,MacBookAir-di-Nicola,127.0.0.1,5.23047399520874,1
-1420.5999899471508,False,2,d0af2d77,2024-03-12_13-59-28,1710248368,5.345804929733276,10.576278924942017,47830,MacBookAir-di-Nicola,127.0.0.1,10.576278924942017,2
-1861.8946605009191,False,3,d0af2d77,2024-03-12_13-59-36,1710248376,7.949286937713623,18.52556586265564,47830,MacBookAir-di-Nicola,127.0.0.1,18.52556586265564,3
-2709.171070772059,False,4,d0af2d77,2024-03-12_13-59-45,1710248385,9.557937145233154,28.083503007888794,47830,MacBookAir-di-Nicola,127.0.0.1,28.083503007888794,4
-3888.60693359375,False,5,d0af2d77,2024-03-12_13-59-59,1710248399,13.741500854492188,41.82500386238098,47830,MacBookAir-di-Nicola,127.0.0.1,41.82500386238098,5
-6006.586770450368,False,6,d0af2d77,2024-03-12_14-00-18,1710248418,18.58499002456665,60.40999388694763,47830,MacBookAir-di-Nicola,127.0.0.1,60.40999388694763,6
-8405.636460248163,False,7,d0af2d77,2024-03-12_14-00-30,1710248430,12.223886013031006,72.63387989997864,47830,MacBookAir-di-Nicola,127.0.0.1,72.63387989997864,7
-13230.490866268383,False,8,d0af2d77,2024-03-12_14-00-40,1710248440,10.214091062545776,82.84797096252441,47830,MacBookAir-di-Nicola,127.0.0.1,82.84797096252441,8
-17254.358972886028,False,9,d0af2d77,2024-03-12_14-00-45,1710248445,4.742241859436035,87.59021282196045,47830,MacBookAir-di-Nicola,127.0.0.1,87.59021282196045,9
-22712.146369485294,False,10,d0af2d77,2024-03-12_14-00-50,1710248450,4.740225076675415,92.33043789863586,47830,MacBookAir-di-Nicola,127.0.0.1,92.33043789863586,10
-22288.73454733456,False,11,d0af2d77,2024-03-12_14-00-54,1710248454,4.7841269969940186,97.11456489562988,47830,MacBookAir-di-Nicola,127.0.0.1,97.11456489562988,11
-27530.080193014706,False,12,d0af2d77,2024-03-12_14-01-00,1710248460,5.282050848007202,102.39661574363708,47830,MacBookAir-di-Nicola,127.0.0.1,102.39661574363708,12
-20478.737821691175,False,13,d0af2d77,2024-03-12_14-01-04,1710248464,4.73196005821228,107.12857580184937,47830,MacBookAir-di-Nicola,127.0.0.1,107.12857580184937,13
-20729.235954733456,False,14,d0af2d77,2024-03-12_14-01-09,1710248469,4.734560966491699,111.86313676834106,47830,MacBookAir-di-Nicola,127.0.0.1,111.86313676834106,14
-20070.447552849266,True,15,d0af2d77,2024-03-12_14-01-14,1710248474,4.856975793838501,116.72011256217957,47830,MacBookAir-di-Nicola,127.0.0.1,116.72011256217957,15
