date,real,generated
2021-08-01,0.0,-0.1980419
2021-08-02,-0.55924326,-0.5255384
2021-08-03,-0.3998946,-0.8446293
2021-08-04,-0.77729344,-0.57377225
2021-08-05,0.42311025,-0.5861536
2021-08-06,-0.33543372,-0.7238538
2021-08-07,-1.9995904,-1.465724
2021-08-08,-0.70233655,-0.97928584
2021-08-09,-1.3261817,-0.92234004
2021-08-10,-1.6123915,-1.4695548
2021-08-11,-1.249098,-1.5865946
2021-08-12,-1.399217,-1.488919
2021-08-13,-2.8538423,-1.3317585
2021-08-14,-2.1713426,-1.38471
2021-08-15,-3.2152696,-1.7958524
2021-08-16,-0.5721185,-1.6137139
2021-08-17,-0.73308873,-1.6292644
2021-08-18,-1.0768197,-1.2151015
2021-08-19,-1.5857805,-1.9014442
2021-08-20,-2.3597922,-1.773171
2021-08-21,-1.8726113,-1.9153619
2021-08-22,-2.8425708,-2.1772287
2021-08-23,-0.5681505,-2.2319467
2021-08-24,-2.0509405,-2.1090174
2021-08-25,-2.3801475,-2.3929758
2021-08-26,-3.0511494,-2.7066672
2021-08-27,-0.048688173,-2.9727888
2021-08-28,-0.8570263,-2.9317374
2021-08-29,-1.0531497,-2.7444265
2021-08-30,-2.8418665,-3.0204537
2021-08-31,-2.391817,-2.689871
