date,real,generated
2021-12-01,0.0,-0.1980419
2021-12-02,-0.13189262,-0.5348813
2021-12-03,-0.13721496,0.071057275
2021-12-04,-0.14252508,0.048636958
2021-12-05,-0.35814354,-0.012451008
2021-12-06,-0.62340355,-0.008504987
2021-12-07,0.24631488,-0.29905665
2021-12-08,-0.3555044,-0.4538868
2021-12-09,-0.26154587,-0.08467825
2021-12-10,-0.42345008,-0.12074964
2021-12-11,-0.5421291,-0.31060216
2021-12-12,0.24831527,0.034369722
2021-12-13,0.18135631,-0.6916662
2021-12-14,-0.03498465,-0.6785155
2021-12-15,-0.24064395,-0.6289389
2021-12-16,-0.44393113,-0.8407259
2021-12-17,0.16812357,-0.45031512
2021-12-18,0.08739662,-0.75730675
2021-12-19,-0.43630338,-1.1130371
2021-12-20,-0.8424689,-1.4207673
2021-12-21,-2.7838814,-1.3116908
2021-12-22,-3.5846806,-1.4400942
2021-12-23,-2.1036108,-1.7021623
2021-12-24,-0.020057201,-1.6593182
2021-12-25,-0.25394708,-1.7668209
2021-12-26,-0.5119554,-1.9533108
2021-12-27,-1.6934564,-2.0796485
2021-12-28,-3.1419039,-2.4195843
2021-12-29,-1.07371,-2.8694146
2021-12-30,-0.75307286,-2.3752751
2021-12-31,-1.6209776,-2.409143
