date,real,generated
2021-02-01,0.0,-0.1980419
2021-02-02,-0.3768136,0.08731975
2021-02-03,1.1111755,0.23435764
2021-02-04,0.5774588,0.40571153
2021-02-05,-0.1049822,0.18181455
2021-02-06,0.31644532,0.53371245
2021-02-07,1.3350812,0.8497207
2021-02-08,1.530272,1.9290507
2021-02-09,1.5508573,1.8353875
2021-02-10,1.5950431,1.4026636
2021-02-11,0.8135445,1.2418165
2021-02-12,-0.07421863,0.80533624
2021-02-13,0.9075005,0.6657921
2021-02-14,1.6934043,0.3653074
2021-02-15,1.3564684,-0.09373263
2021-02-16,0.45190465,-0.34929183
2021-02-17,0.38505298,-0.27920827
2021-02-18,-0.9973118,-0.20614803
2021-02-19,-0.2561627,-0.7135843
2021-02-20,-0.9577397,-1.4883935
2021-02-21,-0.68581474,-1.7665682
2021-02-22,-1.249708,-1.9963763
2021-02-23,-1.248937,-1.8244576
2021-02-24,1.1355587,-1.997895
2021-02-25,-0.35515785,-2.0739832
2021-02-26,-1.7893124,-1.9682639
2021-02-27,0.48500395,-2.0351827
2021-02-28,1.2957048,-1.5809314
