date,real,generated
2021-07-01,0.0,-0.1980419
2021-07-02,-1.3325657,-0.65131867
2021-07-03,-2.183836,-0.72518086
2021-07-04,-0.539206,-1.2518464
2021-07-05,-0.44464332,-1.4511832
2021-07-06,-2.1086383,-1.5723226
2021-07-07,-3.18646,-2.3274612
2021-07-08,-3.1150289,-2.6804652
2021-07-09,-1.3446826,-2.8098712
2021-07-10,-2.255785,-2.7943516
2021-07-11,-1.9394517,-2.4370031
2021-07-12,-2.1489048,-2.8152416
2021-07-13,-0.8420255,-2.514534
2021-07-14,0.17705607,-2.0544677
2021-07-15,0.10798764,-2.0239422
2021-07-16,-0.5638455,-2.7823195
2021-07-17,-2.0111067,-2.3447895
2021-07-18,-0.6670277,-2.8680518
2021-07-19,-0.17479324,-2.4157891
2021-07-20,-0.4328701,-2.4009895
2021-07-21,-1.6142392,-2.443212
2021-07-22,-0.8974669,-2.3068585
2021-07-23,-3.4101884,-2.0704315
2021-07-24,-2.76095,-3.162411
2021-07-25,-0.98408675,-2.5594037
2021-07-26,-1.2641926,-2.3335652
2021-07-27,-2.485404,-1.7750913
2021-07-28,-1.3561267,-1.8543943
2021-07-29,-0.4963647,-1.8485862
2021-07-30,-1.2331804,-2.0075467
2021-07-31,-1.216235,-2.462421
