date,real,generated
2021-06-01,0.0,-0.1980419
2021-06-02,-3.2524052,-0.64177
2021-06-03,-2.8003342,-1.1098312
2021-06-04,-3.0937598,-0.8255154
2021-06-05,-0.49387503,-0.90094686
2021-06-06,-0.45805782,-1.7082385
2021-06-07,-1.9838684,-1.4674408
2021-06-08,-1.7050847,-2.1048265
2021-06-09,-0.38010395,-1.9985359
2021-06-10,-0.20635772,-2.4818141
2021-06-11,-0.5123618,-1.710383
2021-06-12,-0.47347713,-1.1171157
2021-06-13,-1.5198827,-0.73389685
2021-06-14,-0.9274243,-1.2209877
2021-06-15,-0.92322683,-1.7374673
2021-06-16,-2.2120395,-2.3344245
2021-06-17,-2.8731623,-2.741858
2021-06-18,-2.1620505,-2.2032118
2021-06-19,-1.2514839,-1.5723786
2021-06-20,-1.318772,-2.5728626
2021-06-21,-0.36584884,-2.5581083
2021-06-22,-0.7599339,-2.1796808
2021-06-23,-2.1138365,-1.845242
2021-06-24,-0.2788843,-1.8464006
2021-06-25,-0.26241612,-1.5191767
2021-06-26,-1.5072792,-2.7409592
2021-06-27,-2.758327,-1.9728568
2021-06-28,-1.7188852,-1.91186
2021-06-29,-0.65938413,-2.8566134
2021-06-30,-0.031047821,-2.7277732
