date,real,generated
2021-05-01,0.0,-0.1980419
2021-05-02,-0.3833159,-0.05463004
2021-05-03,-0.9540371,-0.6987594
2021-05-04,-2.0990577,-1.1870339
2021-05-05,-0.027672052,-1.4395208
2021-05-06,0.21678728,-1.3286917
2021-05-07,0.37298036,-1.0808684
2021-05-08,-0.6362159,-1.0935807
2021-05-09,-2.749515,-0.74580044
2021-05-10,-2.4559484,0.49434662
2021-05-11,-1.3577114,0.3327352
2021-05-12,0.40500998,0.31005764
2021-05-13,0.45432842,0.39280877
2021-05-14,-0.38011932,-0.25408885
2021-05-15,-0.72975945,-0.34371316
2021-05-16,0.030242324,-0.2999781
2021-05-17,0.32681036,-0.28871194
2021-05-18,-0.58640647,-0.02291282
2021-05-19,0.46780396,0.55210906
2021-05-20,0.22165596,0.07805117
2021-05-21,-1.0848346,-0.3047308
2021-05-22,-0.118577,-0.3781797
2021-05-23,-0.62530285,-1.0636934
2021-05-24,-1.1655823,-0.7872758
2021-05-25,-0.57850695,-0.7113101
2021-05-26,-2.4834857,-1.0947987
2021-05-27,-1.8711691,-1.9099683
2021-05-28,-0.81651163,-2.088741
2021-05-29,-3.0002985,-1.8902692
2021-05-30,-0.6391516,-1.9322451
2021-05-31,-0.2641885,-2.1081607
