date,real,generated
2021-09-01,0.0,-0.1980419
2021-09-02,0.7010489,-0.37928084
2021-09-03,-1.280004,-0.791072
2021-09-04,-1.9727705,-0.86362016
2021-09-05,-1.9759982,-1.2837838
2021-09-06,0.03017068,-1.4579933
2021-09-07,-0.6218275,-1.6072222
2021-09-08,-1.2541549,-1.6660724
2021-09-09,-2.0864885,-1.6376665
2021-09-10,-1.6319948,-1.4990902
2021-09-11,-1.6512975,-1.5800428
2021-09-12,-0.98535633,-1.5953734
2021-09-13,-1.1852821,-1.0131975
2021-09-14,-1.1899171,-0.42643827
2021-09-15,-1.0197115,-0.71570414
2021-09-16,0.031508207,-0.71688575
2021-09-17,0.89485365,-0.559187
2021-09-18,0.32243377,-0.54441077
2021-09-19,0.34513384,-0.42945045
2021-09-20,0.9124524,-0.47532508
2021-09-21,0.041082382,-0.78850496
2021-09-22,0.8275878,-1.0682245
2021-09-23,0.3874026,-0.6292643
2021-09-24,-1.8372066,-0.99164546
2021-09-25,-2.1513667,-0.74162173
2021-09-26,-1.2014842,-0.60757303
2021-09-27,-0.38145477,-0.3929953
2021-09-28,0.2916255,-0.35344636
2021-09-29,-1.7735789,-0.29401165
2021-09-30,-0.53275967,-0.3432932
